POSITIVE,Very well located. Small but nice room. Staff is very friendly.
POSITIVE,Good for the price (except in season). I stay here approx once a month.
POSITIVE,The location is great. Nice place for the money and my husband and I are very picky people. The lobby is beautiful.
POSITIVE,ONLY PROBLEM WAS BED WAS A LITTLE TOO HARD FOR MY TASTE.. EVERYTHING ELSE WAS GREAT..
POSITIVE,The staff were friendly and helpful. My daughter loved the numerous pillows. Hotel is located 1/2 a block from downtown and a few blocks from the park. The park has a gorgeous river running through it... swings etc. lovely.
POSITIVE,My hubby and I stayed at the excalibur for one night and that stay was pleasant. Not only was it cheap and directly on the strip but its walking distance to some of the hottest clubs and restaurants. We're given an upgrade free of charge. The room was clean. And checking out took less than a minute.
POSITIVE,Great value for the price. Clean well maintained older property. Need new TV's though! Staff always very friendly.
POSITIVE,location Close to Old Town. Staff was excellent and room was fine. Location is best thing about it being close to Old Town.
POSITIVE,"We stayed here on our honeymoon, was slightly out of town but we had a car so it was a short drive into town. Hotel was clean, good breakfast, would stay here again, great for a few night stay"
POSITIVE,My friends and I had a blast. We enjoyed our room. Will recommd to others!
NEGATIVE,"This is the noisiest place I have ever stayed, you could hear the people upstairs thumping around, I called to complain and they did nothing, you could also hear the noise off the Strip. Didnt sleep well!"
POSITIVE,"The hotel have a welcome drinking from 4:30- 5:30pm, guest feel very warm. No free parking"
POSITIVE,"Staff was extremely friendly,helpful"
POSITIVE,"My wife and I were very satisfied with this hotel, particularly considering the rate charged. We would stay there again without hesitation."
POSITIVE,very good will be back for next year stay very good restarunt
NEUTRAL,"The hotel was ok, but people were sleeping and yelling in the hall until 6-7am, and you could here everything going on outside I'm used to a bit more sound proofing I guess. Really wish they had a coffee pot in the room."
NEUTRAL,Really need to upgrade your rooms. Very plain rooms.
POSITIVE,"Perfect location, clean, and the staff was friendly and helpful."
NEUTRAL,"We had a 6th floor room--I did request an upper floor for the view. View was half of the Holiday Inn next door and partial of the harbor and bay. It was rather noisy from street traffic and the airport just down the road (although very convenient to the airport). We like to stay near the airport when we have early morning departures so we had to excuse the jet noise. The coffeemaker was single cup and not good for a couple of people..so we had to split the first cup...and morning java is important to us while dressing. The WIFI which is advertised free is non-existant on the 6th floor and is a weak WIFI system overall. They do have a computer in the lobby and we had to go downstairs to use our laptop. Balcony had no chairs. BRIGHT lights on either side so that you had no privacy. We had room darkening drapes but the bright light came around the edges making the room quite light at night. The breakfast is typical economy hotel --no juice, coffee, cereals, waffles, better quality pastries, yogurt, bananas and apples. Negative was the small windowless, no atmosphere breakfast room. They really should do something about that. Room price was about $80 + tax. We had 2 queens but the room was smaller so not a lot of extra space. Also, room amenities were a fridge and microwave. Parking was free and there seemed to be plenty of it. I would not stay there again because there are so many other choices of equal value. The hotel is just a couple of miles away from the Maritime Museum and the Midway. It is also not far from the Old Town San Diego area which we enjoyed very much, especially the FREE very well done Mormon Battalion historical exhibit which was extremely informative and interesting. Room Tip: Check your WIFI if that is important before choosing an upper story room. Also highway noise"
NEUTRAL,Nice digs noise It's on the back side of the Quater. Hotel is nice. But... You can hear everthing thru the walls. Staff was OK for NOLA. Long walk to everthing.
POSITIVE,"Very cooperative staff to making a change to stay an extra day. A little pricey but for the ammenities, very nice. They worked with us to find an available room. I would stay again."
POSITIVE,"Convenient clean and comfortable hotel at Newark airport. You can visit New York via New Jersey Transit, $25 return, 1/2 hr to central New York Penn Station."
POSITIVE,The hotel room was quite big and we liked the little kitchen.Everything was clean and we felt at home. The fridge turned out a bit loud at nights and the breakfast room was too crowded to feel comfortable.
POSITIVE,Very nice computer work station in the room. Room was spotless and very nice.
NEUTRAL,"The address is worthless.. Be prepared to call and ask how to get there, even with GPS. Oh, and drive a SMALL car - the parking lot is cramped and the entry at the back is narrow enough to prevent passing another vehicle. Room itself was verygood, spacious, clean and comfy. They need to upgrade to HDTVs - the old analogs are dated - cable or not. Not all of us have laptops and there was no phone book in the room to provide basic info on what's near re: dining etc.. It's VERY close to the airport but I heard no planes - and it's far enough from downtown (12+ miles) so as to avoid the main attraction crowds and noise. The staff at the desk were excellent and very personable. Overall - I'd go again.."
POSITIVE,"This is a fantastic hotel. The only slight disappointment was the lack of hot tub, but the indoor pool is kept very warm. Pros: The room was amazing! Very clean with comfortable beds. Cons: Disappointed that there was no hot tub.The indoor pool was a bit small and only 5 feet deep."
NEGATIVE,"AC unit in room sounded like a jet engine failing then trying to restart then failing then trying to restart then failing etc. Additionally, the FREE breakfast was old boxed cereal and cheap juice and bread. I asked to speak to the manager to inform of my dis-satisfaction of the AC unit keeping me up all night. I was never able to speak to management nor was I comped anything. If you are trying to sleep off your hangover in napa better off setting up shop in a vineyard for the night!"
POSITIVE,"Great find if you want to go to Pittsburgh, and not rent a car. The staff was SO friendly, just as other reviews have mentioned. They offer everything you need, will shuttle you all over the place, and feed you breakfast and cocktails too! The hotel itself needs a bit of updating, but the rooms are very comfortable. We will now make this our stop of choice, when visiting Pittsburgh!! Pros: Free breakfast Free Internet eva cocktail reception shuttle bus"
POSITIVE,"Very nice hotel, well maintained, clean, spacious comfortable room. My only disappointment was that our room was directly across from their banquet room which was in use when we arrived that night, but housekeeping decided that they needed to clean that room early the next morning, and decided to prop that room's door open with their cleaning cart while they vacuumed. So my hopes to sleep in that morning were not to be as they began vacuuming before 7 am!!! Other than that the room was great and I would stay there again."
POSITIVE,"I stayed with my wife and two boys. Rooms are small, but well appointed and comfortable. Staff were very helpful."
POSITIVE,Just short trip to the shops and places to eat. Clean rooms nice pool area. Room Tip: The King suite is the best.
NEUTRAL,"Pros: Staff was helpful. Cons: Had to change rooms because of AC problems, and breakfast was subpar."
NEGATIVE,"I think most sites are rating this hotel at a 3 1/2 star... Id gravely disagree. Its basically an updated Motel 6 at best. The bathrooms have Motel6 counters / flooring / wall tile. The room was very basic and is definitely not nicer than some of the 21/2 star places I have stayed. If you have a choice between here and Springhill Suites or another comparable location, stay elsewhere!!"
POSITIVE,"Modern design hotel with nice, clean and comfort room, internet and small nice restaurant .you can wake up and go-walking distance and public transportation near by- and visit the beautiful city. Room Tip: all the same"
POSITIVE,"I was skeptical since the BW got such high reviews but was $30 cheaper than the Springfield Inn up the road. But everything was new, clean and shiny and the hotel staff courteous and helpful. The pool was clean and nice and a family reunion even rented the convention center while we were there."
POSITIVE,The staff was very helpful and courteous. I wasn't crazy about the restaurant. I would have liked to see a nice restaurant/bar in the hotel. The elevator was tiny...we had a wheelchair and it barely fit inside.
POSITIVE,excellent location and excellent service.
POSITIVE,"Friendly helpful staff, proximity to airport. We stayed at a $300+ hotel in ct and were treated far ruder than at the Best Western."
POSITIVE,"Free parking, free internet, good location Did you find this review helpful? yes no"
POSITIVE,"This hotel is not exactly in an ideal location, however once you walk into the front doors, the decor and style boasts high quality hotel. The rooms are very clean, however quite small. The room and bathroom have very little walking space. (It reminds me of a extra small efficiency, to which the hotel put multiple mirrors in the room to give the look [?] of a bigger room. ) You do not notice the size of the rooms based on the photos. But if you are looking for a nice, clean room for the night, this is your hotel. I wouldn't choose any other in the area."
POSITIVE,"I love the welcoming of the staff, they made you feel comfortable as well as welcomed. From the reception area to your room was a class treatment. I loved your rooms they were very clean, and invitiong. We also loved!!!!! The shower. Your staff is to be complimented for the outstanding customer service they offer. I will be back> I loved the experience! There was nothing I didn't like at best western"
POSITIVE,"Stayed here on NYE 2011 and priced to sell! Only 30 minutes to NYC, with public transportation right behind the hotel. The staff members were excellent and extremely helpful. While far from a luxury hotel, it has the basic essentials, and it's pet friendly. My only complaint is that the microwave did not work. This was especially a let down after I [?] had my heart set on a late night meal after the NYE festivities. In any event, if going to bed without a second dinner was the only complaint, I'd have to say I recommend this hotel to anyone that wants to save money, doesn't mind a short drive to the city and simply wants a place to rest their head after a day/evening of activities."
NEGATIVE,This was our family last summer get away before they returned to school. Wtih four girls ages 5 to 15 we reserved two rooms the rooms were dirty the bathroom shower had mold and the AC units was full of mold and leaked. The room was not cleaned on our first day two towels were in the girls room the trash was not taken out a trash bag was left on the floor next to the can. I called to ask about the towels head of housekeeping came she gave us the towels but was very defensive when we asked why the rooms had not been cleaned. We also spoke to the front desk about the mold she was very nice explaing the hotel is going through a deep cleaning and these were the rooms they had not been cleaned . However we enjoyed Saint Augustine its a beautiful city with a deep history.
POSITIVE,"What a great place to stay! The room was extremely clean and the fireplace so cozy on a wintery, snowy night. The staff in the lounge were fun and we had a few laughs over some good food. So much food we had enough leftover for lunch the next day. Pool and hot tub again very clean with a fast fun waterslide. The breakfast buffet had a nice selection with loads of hot or cold choices. All in all a very pleasant place to stay. We will stay again and recommend it to others. The location is good for getting to the airport. The thermostate is a little trickly to use but figured it out."
POSITIVE,"This hotel met every expectation and then some. I was a bit leary of it before w arrived because we got such a good price on the room...you usually get what you pay for and $49 plus tax was way too good to be true...or so I thought. We could not have asked for a better experience. The room was spotless, the beds were comfortable and the staff was friendly. We will be going back!"
POSITIVE,"Excellent spot to spend a night before/after flight. VERY convenient, quiet (for us anyway, no flight noise), handy restaurant outside, excellent staff and newly refurbished large spacious rooms."
POSITIVE,"Our family of four had an overall good stay. The bed was comfortable and I liked the fact we had two pillows, each. The breakfast bar was really good and well stocked to the end as we came close to 9 am both mornings. A couple small complaints,the pool was clean, but super cold so no one could swim. If they are going to open it in March they could invest [?] in a pool warmer for the future. :) My girls really looked forward to swimming. Also we think there should be pool towels avaliable so you are not using your same room towels for pool and shower. back to positive, the staff and waiters were very friendly and the lounge was very nice too. We would stay again."
POSITIVE,The restraunt on site was delicious and we met the chef.. Great! The room was clean and comfortable. Great place to say and great price!
POSITIVE,Does not allow for vehicle parking when taking trip.
POSITIVE,Exeptionally friendly staff. Always ready to help you with any issues that may arise. Would recommend them to anyone.
POSITIVE,Reasonable price for a reasonable hotel. Including outdoor swimming pool and indoor parking which was appreciated considering the area the hotel is located in. Breakfast capacity was not sufficient for number of guests. Room was VERY noisy due to carboard ceiling and upper neighbour running around all night and waking us up all the time by doing so......This was also a complaint from other guests on our floor (2nd of 3).
POSITIVE,"We researched this hotel well before our holiday as our daughter was joining us from New Zealand. It didn't let us down and from start to finish we were made to feel welcome. Everything from the food in the main dining area and also the bar, through to the facilities. The staff were excellent and very professional. We have booked many times with others such as Premier and Travel Lodge but this was our first with Best Western and it didn't let us down. Will certainly be returning in the future."
POSITIVE,The staff couldn't of made us more welcoming. They were all very polite and helpfull. Even kept their cool when the fire alarm went of in the morning. Did you find this review helpful? yes no
POSITIVE,"Staff very welcoming and nothing was too much trouble. Food in restaurant superb, decor lovely. Really close to beach and town. Good size pool and lovely new steam room, spa pool and sauna. We will be returning again soon."
POSITIVE,Very close to town and even closer to the beach. Staff very friendly and helpful. Would definately recommend hot stone massage! The wait for food at lunch times was longer than expected for what we ordered. Air conditioning in the rooms would be a plus as it was very stuffy even after our weekend heatwave. Did you find this review helpful? yes no
POSITIVE,Excellent breakfast ..comfortable beds ..clean ..my balcony view .. Inside hotel much too hot ..no Air con .. rooms overheat ..duvets for winter ..in summer !
POSITIVE,Very friendly staff who looked after us from check-in to check-out Small room but I knew this when booking
POSITIVE,The only concern was that some noise could be heard from the other rooms.
POSITIVE,Friendly front desk and bar
NEUTRAL,Location and ease of parking. Breakfast was rather basic and breakfast room was small. Our room had door to ajoining room and was not very sound proof. I.E. could easily hear neighbours.
NEGATIVE,Shuttle service to metro Noise between rooms Very loud air conditioning Did you find this review helpful? yes no
POSITIVE,Good value. Looked at other hotels on internet that were priced lower but after looking at pictures and guest reviews decided it was better to pay a bit more for a better hotel. The manager was very pleasant and interested that the guests were having a good stay. Already recommended hotel to others. Did you find this review helpful? yes no
NEUTRAL,Reasonable price and good location for airport Very dated and run-down
NEUTRAL,The shuttle service was very convenient. The linens felt were clean but didn't feel too comfortable. Like they were coated with chlorine or something.
POSITIVE,This is a quality bargain at a good price. Excellent continental breakfast and the past place I have stayed for being pet friendly.
POSITIVE,Cheap and not far from the airport.
